BMX	PKM
BLK	KIT
IKBKE	PKM
EPHB3	PKM
PKM	TYRO3
LRRK2	PFKP
BLK	MET
MAP2K3	MAP2K6
LRRK2	PAK6
KIT	ZAP70
MARK2	PKM
DYRK3	PKM
NTRK2	PKM
EGFR	FGFR1
LRRK1	RET
JAK2	PKM
ALK	PKM
MAP3K2	PKM
LTK	PKM
PKM	STK4
EPHA8	PKM
CDK8	CDK9
MAP3K11	PKM
EPHA2	PKM
ABL1	LRRK2
LRRK2	STK40
CHEK1	PKM
MET	PKM
MET	YES1
CHEK2	PKM
LRRK1	PAK6
LRRK2	MATK
DYRK1B	PKM
FGFR3	PKM
CAMKK2	PKM
PKM	TEK
PKM	STK33
LRRK2	NEK1
MAP2K2	PKM
AKT3	PKM
GSK3A	PKM
PKM	TSSK2
EPHA1	PKM
MAP3K3	PKM
AURKC	LRRK2
FGFR2	LRRK1
LCK	MET
EPHA5	PKM
PKM	TTN
GAK	LRRK2
MET	SYK
MET	ZAP70
CSF1R	PKM
MAP2K1	PKM
ERBB2	PKM
KIT	PKM
DCLK2	PKM
MAPK12	PKM
CDK19	CDK9
LRRK2	PKM
PKM	ROS1
MAPK1	PKM
MERTK	PKM
IKBKB	PKM
NEK1	PKM
PKM	WNK2
EGFR	PKM
ABL1	PKM
AURKA	CSNK2A1
EGFR	VRK1
MAP2K6	MAPK1
FGFR1	RPS6KA3
HIPK4	RAF1
CSK	ZAP70
EGFR	PRKAA1
EGFR	PFKM
EGFR	PLK1
EGFR	PDK1
LATS2	STK4
CAMK1	MARK2
CDK15	ROCK1
ATM	CDK9
AURKA	TRIM28
ATM	TRIM28
AURKB	MARK2
EGFR	MAP2K2
EGFR	MAP2K3
EGFR	EIF2AK2
CDK20	RAF1
EGFR	RPS6KA3
EGFR	MAP2K4
LATS2	PAK4
EGFR	STK26
ABL1	LATS2
AURKA	MAPK6
EGFR	TBK1
EGFR	HK1
EGFR	HK2
LYN	TRIM28
EGFR	OXSR1
LATS2	NME7
NUAK1	PLK1
LATS2	TBK1
EGFR	FN3KRP
CDK4	JAK3
EGFR	RIOK2
SIK2	TRIM28
MAPK9	PRKCQ
PIK3CB	PIP4K2A
FER	YES1
MAPK14	RIPK2
JAK2	LCK
PIK3CA	PRKCI
FLT4	PIK3CA
BUB1	RPS6KA1
AURKA	PRKACA
BTK	JAK2
MAPK9	PRKCZ
PIK3CG	PIP5K1B
BUB1B	CHEK1
PRKACB	PRKCG
PIK3CD	PIP5K1C
JAK1	PIK3CG
KDR	PTK2
MYLK	PAK3
PIP4K2C	ROCK2
PDPK1	PIK3CB
IKBKB	IRAK2
AKT2	PIK3CD
PIK3CB	TYK2
PIK3CB	PRKCI
EPHA5	FYN
AKT1	PDK1
FLT1	PIK3CD
BMPR1B	ERBB2
FGR	LCK
MAP2K4	PAK5
MAP2K2	PRKCD
NTRK1	PIK3CA
ACVR2A	BMPR2
JAK3	PIK3CB
CSF1R	PIK3CG
RPS6KA2	RPS6KA3
FYN	HCK
MAP2K2	MAP3K1
MAPK3	PRKX
MYLK2	PAK6
PDPK1	PIK3CG
MAP3K5	MAP4K4
EPHA7	LCK
HCK	PTK2
ACVR1	ACVR1C
PIK3CG	PIP4K2A
KDR	MAP3K13
MAPK7	RPS6KA3
PRKCZ	RIPK2
MOS	PKMYT1
AKT3	IKBKB
RPS6KA2	RPS6KA6
MAP3K2	PAK1
PI4K2B	PIK3C2A
IGF1R	PIK3CD
PRKCQ	SRC
FLT4	PIK3CD
EPHA5	EPHA7
GSK3B	PRKACG
PCK2	PRKAA2
PRKCZ	RIPK1
FYN	PIK3CB
ERBB4	PIK3CB
MAPK13	MAPK14
MAP2K1	SRC
CSF1R	PIK3CB
PIK3CD	PRKCI
FES	FYN
MAPK7	PRKCD
CAMK2A	JAK1
MET	PIK3CG
MAPK3	PRKACG
PI4KA	PIK3C2A
MET	PIK3CB
PRKACG	TRIM28
PDK1	PRKCZ
INSR	PRKCI
CAMKK1	PRKAA1
IRAK1	MAP3K1
FYN	JAK1
MAP3K1	RIPK1
IKBKB	MAP3K8
MAP2K1	PIK3CA
KDR	PIK3CD
PIP4K2B	ROCK1
MAP2K1	PIK3CD
IGF1R	PIK3CG
NTRK1	PIK3CB
PIP4K2A	PIP5K1A
PIK3CA	SRC
CAMK2B	MAP3K5
AKT1	AURKA
MAP2K6	TAOK1
IKBKB	RIPK2
PAK6	RAF1
FGR	PIK3CA
MAP2K4	ROCK2
CDK5	EPHA5
MAP2K6	MAP3K2
PIK3C2A	PIP5K1B
AKT1	PIK3CD
RPS6KA4	RPS6KA5
ABL1	EPHA8
MAP3K1	MAP4K1
IGF1R	PRKX
PIK3CA	SYK
MAPK12	RIPK2
KDR	PIK3CG
ERBB2	TGFBR1
PRKCG	RAF1
LCK	PRKCZ
FYN	LCK
PIK3CG	PIP4K2B
TAOK1	TAOK2
